"Provincia","Nombre","Dirección","Gasolina 95","Gasolina 98","Gasoleo A"
"Albacete","VILA Y FAYOS","CARRETERA D-12 ESTACION KM. 32, CAUDETE","1,358€","€","1,269€"
"Albacete","VEN Y VEN OIL","AVENIDA REYES CATOLICOS, S/N, VILLARROBLEDO","1,329€","1,429€","1,269€"
"Albacete","VALERO 24H","AVENIDA POLIGONO CAMPOLLANO AVENIDA 0, 67, ALBACETE","1,329€","€","1,259€"
"Albacete","TRANSPORTES CAUDETE","CARRETERA N-344 KM. 114,500, CAUDETE","€","€","1,264€"
"Albacete","TAMOS","AVENIDA MENÉNDEZ PIDAL, 58, ALBACETE","1,389€","1,499€","1,309€"
"Albacete","SHELL - ROMICA","CALLE PRINCIPE DE ASTURIAS (POLÍGONO DE ROMICA), 5, ALBACETE","1,359€","1,489€","1,299€"
"Albacete","SHELL","AUTOVIA A-31 KM. 140, ALMANSA","1,399€","1,539€","1,329€"
"Albacete","SAT SANTA CRUZ DE POZO LORENTE","POLIGONO PARAJE RECIAL, 2, POZO-LORENTE","€","€","1,255€"
"Albacete","SAN ROQUE DE TOBARRA S. COOP. DE C-LM","CAMINO CAMINO DEL GUIJARRAL, 0, TOBARRA","€","€","1,225€"
"Albacete","RESTAURANTE LAS POLAS","CARRETERA CM-3114 KM. 12,7, VILLALGORDO DEL JUCAR","1,379€","€","1,279€"
"Albacete","REPSOL","AUTOVIA A-43 KM. 129, VILLARROBLEDO","1,394€","1,499€","1,363€"
"Albacete","REPSOL","AVENIDA PRINCIPE, 2, SANTA ANA","1,349€","1,479€","1,299€"
"Albacete","REPSOL","CR N-330, 71,4, CAUDETE","1,399€","1,509€","1,349€"
"Albacete","REPSOL","CR A-31, 235, GINETA (LA)","1,399€","1,519€","1,349€"
"Albacete","REPSOL","CR N-430, 566,3, BONETE","1,399€","1,509€","1,349€"
"Albacete","REPSOL","AUTOVIA A-31 KM. 103,150, HOYA-GONZALO","1,269€","1,369€","1,149€"
"Albacete","REPSOL","CARRETERA NACIONAL 310 KM. 137,7, VILLARROBLEDO","1,349€","1,449€","1,319€"
"Albacete","REPSOL","AUTOVIA A-31 KM. , ALBACETE","1,219€","1,338€","1,059€"
"Albacete","REPSOL","CALLE CTRA. DE JAEN, 79, ALBACETE","1,389€","1,519€","1,329€"
"Albacete","REPSOL","CR N-301, 244, ALBACETE","1,369€","1,499€","1,319€"
"Albacete","REPSOL","CARRETERA N-322 KM. 359, ALBACETE","1,369€","1,509€","1,309€"
"Albacete","REPSOL","CR CM-313 61,7, POZOHONDO","1,399€","€","1,349€"
"Albacete","REPSOL","AUTOVIA A-31 KM. 69, ALBACETE","1,399€","1,519€","1,349€"
"Albacete","REPSOL","CARRETERA OSSA DE MONTIEL KM. 21, VILLARROBLEDO","1,349€","1,449€","1,319€"
"Albacete","REPSOL","CL CARRETERA JAEN, 47, HELLIN","1,369€","1,489€","1,319€"
"Albacete","REPSOL","CR CM-332, 46,4, ALATOZ","1,389€","1,459€","1,319€"
"Albacete","REPSOL","PG CAMPOLLANO-P. 2-CT, S.N., ALBACETE","1,369€","1,499€","1,319€"
"Albacete","REPSOL","CARRETERA JAEN KM. 2, ALBACETE","1,379€","1,499€","1,329€"
"Albacete","REPSOL","AUTOVIA A-31 KM. 126, BONETE","1,399€","1,509€","1,349€"
"Albacete","REPSOL","AUTOVIA A-31 KM. 86, CHINCHILLA DE MONTE-ARAGO","1,399€","1,509€","1,349€"
"Albacete","REPSOL","AUTOVIA A-31 KM. 86, CHINCHILLA DE MONTE-ARAGO","1,399€","1,509€","1,349€"
"Albacete","REPSOL","CL AVENIDA GENERALISIMO 107 (N-301 km 276), POZO BUENO","1,369€","1,493€","1,319€"
"Albacete","REPSOL","CALLE DOS DE MAYO, 167, VILLARROBLEDO","1,349€","1,369€","1,299€"
"Albacete","REPSOL","CARRETERA N 430 KM. 429, OSSA DE MONTIEL","1,369€","1,509€","1,299€"
"Albacete","REPSOL","CARRERA N-301, 195,2, MINAYA","1,389€","1,519€","1,329€"
"Albacete","REPSOL","CARRETERA DE HELLIN KM. 104, ISSO","1,369€","1,489€","1,319€"
"Albacete","REPSOL","CL AVENIDA DE LA RODA, 1, TARAZONA DE LA MANCHA","1,359€","€","1,309€"
"Albacete","REPSOL","CL AVDA. DE AYORA, S.N. A, ALMANSA","1,369€","1,469€","1,319€"
"Albacete","REPSOL","AUTOVIA A-31 KM. 40, RODA (LA)","1,399€","1,519€","1,349€"
"Albacete","REPSOL","CALLE ALFREDO ATIENZA, 156, RODA (LA)","1,369€","1,509€","1,319€"
"Albacete","REPSOL","CARRETERA N-301 KM. 316, HELLIN","1,369€","1,489€","1,319€"
"Albacete","REPSOL","CL PASEO DE LA CUBA, 15, ALBACETE","1,369€","1,499€","1,319€"
"Albacete","REPSOL","CR N-322, 258,8, VILLAPALACIOS","1,399€","1,539€","1,339€"
"Albacete","REPSOL","AVENIDA GUARDIA CIVIL, 233, TOBARRA","1,409€","1,529€","1,319€"
"Albacete","REPSOL","CARRETERA CM-3201 KM. 22,70, VILLAMALEA","1,369€","1,509€","1,319€"
"Albacete","REPSOL","CR N-322, 302,8, JARDIN (EL)","1,359€","€","1,299€"
"Albacete","REPSOL","CR N-322, 337,8, ALBACETE","1,419€","1,565€","1,339€"
"Albacete","REPSOL","AVENIDA LEVANTE, 15, MADRIGUERAS","1,369€","1,509€","1,319€"
"Albacete","QUALITY ALMANSA","CALLE INFANTE DON JUAN MANUEL, 4, ALMANSA","1,329€","€","1,249€"
"Albacete","PETRONOR","CARRETERA MURCIA KM. 33, HELLIN","1,369€","1,489€","1,319€"
"Albacete","PETRONOR","Ctra. AB-430 KM 530,3, CHINCHILLA DE MONTE-ARAGO","1,369€","1,509€","1,319€"
"Albacete","PETRONOR","CARRETERA CM 313 KM. 72,4, HELLIN","1,270€","€","1,269€"
"Albacete","PETROGAS","CARRETERA CM 412 KM. 273, HELLIN","1,348€","€","1,248€"
"Albacete","PETROCAMP","AVENIDA 1º DE MAYO, S/N, ALBACETE","€","€","1,269€"
"Albacete","PARGA I","CR N-344 DIRC.VALENCIA, KM. 118.3, CAUDETE","1,409€","1,550€","1,349€"
"Albacete","ONTALBA S. COOP DE C-LM","CAMINO DE HELLIN S/N, ONTUR","€","€","1,210€"
"Albacete","Nº 7374","AVDA. DOCTOR PEREZ GIL, 25, FUENTE-ALAMO","1,399€","1,499€","€"
"Albacete","Nº 15.526","C/. FEDERICO GARCIA LORCA, 47, VALDEGANGA","1,379€","1,380€","1,319€"
"Albacete","Nº 15.526","C/. FEDERICO GARCIA LORCA, 47, VALDEGANGA","1,179€","1,280€","1,079€"
"Albacete","Nº 10.935","AVENIDA CASTILLA LA MANCHA, 26, ABENGIBRE","1,379€","€","1,299€"
